"","Treatment","Location","Col","Row","plot","Block","RIL","DAYS_TILL_BUDDING","GDD_TILL_BUDDING"
"1","LD","SA",2,9,18,1,"Arm",91,1111.52950614213
"2","LD","SA",10,13,284,2,"Arm",91,1111.52950614213
"3","LD","SA",2,8,16,1,"PI",77,960.291455535771
"4","LD","SA",29,19,385,2,"PI",70,884.477299169934
"5","LD","SA",34,8,176,1,"RIL1",91,1111.52950614213
"6","LD","SA",2,14,246,2,"RIL1",91,1111.52950614213
"7","LD","SA",26,8,136,1,"RIL10",91,1111.52950614213
"8","LD","SA",9,14,285,2,"RIL10",91,1111.52950614213
"9","LD","SA",2,7,14,1,"RIL100",84,1038.0575228229
"10","LD","SA",33,15,407,2,"RIL100",84,1038.0575228229
"11","LD","SA",38,9,184,1,"RIL101",91,1111.52950614213
"12","LD","SA",6,17,270,2,"RIL101",84,1038.0575228229
"13","LD","SA",9,6,51,1,"RIL102",84,1038.0575228229
"14","LD","SA",2,13,244,2,"RIL102",84,1038.0575228229
"15","LD","SA",41,7,213,1,"RIL103",77,960.291455535771
"16","LD","SA",14,15,314,2,"RIL103",77,960.291455535771
"17","LD","SA",26,3,126,1,"RIL104",77,960.291455535771
"18","LD","SA",38,20,424,2,"RIL104",77,960.291455535771
"19","LD","SA",9,2,43,1,"RIL105",91,1111.52950614213
"20","LD","SA",2,16,250,2,"RIL105",91,1111.52950614213
"21","LD","SA",13,4,73,1,"RIL107",77,960.291455535771
"22","LD","SA",6,19,266,2,"RIL107",84,1038.0575228229
"23","LD","SA",14,5,72,1,"RIL108",91,1111.52950614213
"24","LD","SA",25,19,375,2,"RIL108",91,1111.52950614213
"25","LD","SA",33,6,171,1,"RIL109",91,1111.52950614213
"26","LD","SA",21,13,357,2,"RIL109",84,1038.0575228229
"27","LD","SA",30,2,158,1,"RIL11",77,960.291455535771
"28","LD","SA",33,18,413,2,"RIL11",77,960.291455535771
"29","LD","SA",9,4,47,1,"RIL110",77,960.291455535771
"30","LD","SA",22,17,350,2,"RIL110",84,1038.0575228229
"31","LD","SA",33,2,163,1,"RIL111",77,960.291455535771
"32","LD","SA",25,21,379,2,"RIL111",77,960.291455535771
"33","LD","SA",30,10,142,1,"RIL112",84,1038.0575228229
"34","LD","SA",42,15,448,2,"RIL112",77,960.291455535771
"35","LD","SA",13,9,63,1,"RIL113",77,960.291455535771
"36","LD","SA",18,20,338,2,"RIL113",77,960.291455535771
"37","LD","SA",30,1,160,1,"RIL114",91,1111.52950614213
"38","LD","SA",17,16,329,2,"RIL114",91,1111.52950614213
"39","LD","SA",2,1,2,1,"RIL115",77,960.291455535771
"40","LD","SA",41,14,445,2,"RIL115",77,960.291455535771
"41","LD","SA",6,8,26,1,"RIL116",77,960.291455535771
"42","LD","SA",37,13,437,2,"RIL116",70,884.477299169934
"43","LD","SA",38,10,182,1,"RIL117",77,960.291455535771
"44","LD","SA",29,18,387,2,"RIL117",77,960.291455535771
"45","LD","SA",21,3,115,1,"RIL118",77,960.291455535771
"46","LD","SA",21,12,359,2,"RIL118",77,960.291455535771
"47","LD","SA",29,1,159,1,"RIL119",77,960.291455535771
"48","LD","SA",22,15,354,2,"RIL119",77,960.291455535771
"49","LD","SA",22,7,108,1,"RIL12",70,884.477299169934
"50","LD","SA",34,16,410,2,"RIL12",70,884.477299169934
"51","LD","SA",10,6,52,1,"RIL120",84,1038.0575228229
"52","LD","SA",5,16,271,2,"RIL120",91,1111.52950614213
"53","LD","SA",46,9,224,1,"RIL121",77,960.291455535771
"54","LD","SA",34,21,420,2,"RIL121",77,960.291455535771
"55","LD","SA",42,2,204,1,"RIL122",77,960.291455535771
"56","LD","SA",29,15,393,2,"RIL122",84,1038.0575228229
"57","LD","SA",6,6,30,1,"RIL123",77,960.291455535771
"58","LD","SA",30,13,398,2,"RIL123",91,1111.52950614213
"59","LD","SA",1,5,9,1,"RIL124",77,960.291455535771
"60","LD","SA",5,18,267,2,"RIL124",84,1038.0575228229
"61","LD","SA",6,4,34,1,"RIL125",77,960.291455535771
"62","LD","SA",30,16,392,2,"RIL125",77,960.291455535771
"63","LD","SA",18,10,100,1,"RIL126",91,1111.52950614213
