"","Treatment","Location","Col","Row","plot","Block","RIL","DAYS_TILL_BUDDING","GDD_TILL_BUDDING"
"1","SD","IV",29,2,157,1,"PI",101,941.952388863801
"2","SD","IV",37,17,429,2,"PI",108,980.93628580422
"3","SD","IV",41,1,201,1,"RIL1",182,1757.18758378496
"4","SD","IV",34,10,180,1,"RIL10",182,1757.18758378496
"5","SD","IV",22,12,360,2,"RIL10",182,1757.18758378496
"6","SD","IV",17,6,91,1,"RIL100",195,1927.865626113
"7","SD","IV",1,20,257,2,"RIL100",174,1662.20823905561
"8","SD","IV",46,7,228,1,"RIL101",182,1757.18758378496
"9","SD","IV",22,21,342,2,"RIL101",182,1757.18758378496
"10","SD","IV",45,5,231,1,"RIL102",174,1662.20823905561
"11","SD","IV",46,13,478,2,"RIL102",182,1757.18758378496
"12","SD","IV",2,5,10,1,"RIL103",143,1298.41578326931
"13","SD","IV",37,15,433,2,"RIL103",135,1209.08864961392
"14","SD","IV",17,10,99,1,"RIL104",157,1470.45901998429
"15","SD","IV",6,16,272,2,"RIL104",182,1757.18758378496
"16","SD","IV",45,7,227,1,"RIL105",182,1757.18758378496
"17","SD","IV",33,14,405,2,"RIL105",182,1757.18758378496
"18","SD","IV",2,3,6,1,"RIL107",182,1757.18758378496
"19","SD","IV",41,18,453,2,"RIL107",157,1470.45901998429
"20","SD","IV",10,7,54,1,"RIL108",195,1927.865626113
"21","SD","IV",21,17,349,2,"RIL108",182,1757.18758378496
"22","SD","IV",34,16,410,2,"RIL109",182,1757.18758378496
"23","SD","IV",45,8,225,1,"RIL11",135,1209.08864961392
"24","SD","IV",41,17,451,2,"RIL11",129,1164.60187712715
"25","SD","IV",9,7,53,1,"RIL111",157,1470.45901998429
"26","SD","IV",14,21,302,2,"RIL111",174,1662.20823905561
"27","SD","IV",1,7,13,1,"RIL112",195,1927.865626113
"28","SD","IV",38,12,440,2,"RIL112",182,1757.18758378496
"29","SD","IV",5,7,27,1,"RIL113",135,1209.08864961392
"30","SD","IV",29,13,397,2,"RIL113",129,1164.60187712715
"31","SD","IV",1,3,5,1,"RIL114",182,1757.18758378496
"32","SD","IV",10,15,288,2,"RIL114",195,1927.865626113
"33","SD","IV",13,6,69,1,"RIL115",143,1298.41578326931
"34","SD","IV",17,15,327,2,"RIL115",143,1298.41578326931
"35","SD","IV",10,5,50,1,"RIL116",157,1470.45901998429
"36","SD","IV",26,20,378,2,"RIL116",174,1662.20823905561
"37","SD","IV",33,10,179,1,"RIL117",143,1298.41578326931
"38","SD","IV",38,21,422,2,"RIL117",174,1662.20823905561
"39","SD","IV",25,1,121,1,"RIL118",135,1209.08864961392
"40","SD","IV",9,20,297,2,"RIL118",135,1209.08864961392
"41","SD","IV",30,9,144,1,"RIL119",143,1298.41578326931
"42","SD","IV",22,20,344,2,"RIL119",150,1382.56207956561
"43","SD","IV",9,10,59,1,"RIL12",129,1164.60187712715
"44","SD","IV",30,14,396,2,"RIL12",135,1209.08864961392
"45","SD","IV",38,1,200,1,"RIL120",182,1757.18758378496
"46","SD","IV",1,1,1,1,"RIL121",174,1662.20823905561
"47","SD","IV",5,15,273,2,"RIL121",143,1298.41578326931
"48","SD","IV",37,9,183,1,"RIL122",122,1115.27006197169
"49","SD","IV",29,12,399,2,"RIL122",129,1164.60187712715
"50","SD","IV",30,12,400,2,"RIL123",182,1757.18758378496
"51","SD","IV",42,7,214,1,"RIL124",182,1757.18758378496
"52","SD","IV",37,14,435,2,"RIL124",182,1757.18758378496
"53","SD","IV",2,10,20,1,"RIL125",195,1927.865626113
"54","SD","IV",37,20,423,2,"RIL125",174,1662.20823905561
"55","SD","IV",21,4,113,1,"RIL126",195,1927.865626113
"56","SD","IV",17,17,331,2,"RIL126",174,1662.20823905561
"57","SD","IV",30,6,150,1,"RIL127",195,1927.865626113
"58","SD","IV",34,8,176,1,"RIL128",182,1757.18758378496
"59","SD","IV",5,19,265,2,"RIL128",157,1470.45901998429
"60","SD","IV",18,6,92,1,"RIL129",174,1662.20823905561
"61","SD","IV",45,13,477,2,"RIL129",157,1470.45901998429
"62","SD","IV",33,9,177,1,"RIL13",150,1382.56207956561
"63","SD","IV",25,16,369,2,"RIL13",157,1470.45901998429
"64","SD","IV",1,4,7,1,"RIL130",157,1470.45901998429
"65","SD","IV",2,21,260,2,"RIL130",195,1927.865626113
"66","SD","IV",18,9,98,1,"RIL131",182,1757.18758378496
"67","SD","IV",30,19,386,2,"RIL131",182,1757.18758378496
"68","SD","IV",10,6,52,1,"RIL132",157,1470.45901998429
"69","SD","IV",21,13,357,2,"RIL132",143,1298.41578326931
"70","SD","IV",41,6,211,1,"RIL133",135,1209.08864961392
"71","SD","IV",45,15,473,2,"RIL133",135,1209.08864961392
"72","SD","IV",14,1,80,1,"RIL134",195,1927.865626113
"73","SD","IV",10,16,290,2,"RIL134",182,1757.18758378496
"74","SD","IV",13,7,67,1,"RIL135",122,1115.27006197169
"75","SD","IV",38,19,426,2,"RIL135",129,1164.60187712715
"76","SD","IV",14,8,66,1,"RIL136",122,1115.27006197169
"77","SD","IV",17,20,337,2,"RIL136",122,1115.27006197169
"78","SD","IV",5,3,35,1,"RIL137",195,1927.865626113
"79","SD","IV",21,21,341,2,"RIL137",174,1662.20823905561
"80","SD","IV",17,4,87,1,"RIL138",143,1298.41578326931
"81","SD","IV",13,17,309,2,"RIL138",143,1298.41578326931
"82","SD","IV",37,2,197,1,"RIL139",157,1470.45901998429
"83","SD","IV",6,12,280,2,"RIL139",174,1662.20823905561
"84","SD","IV",2,9,18,1,"RIL14",150,1382.56207956561
"85","SD","IV",37,21,421,2,"RIL14",143,1298.41578326931
"86","SD","IV",17,2,83,1,"RIL140",174,1662.20823905561
"87","SD","IV",10,17,292,2,"RIL140",182,1757.18758378496
"88","SD","IV",33,6,171,1,"RIL141",129,1164.60187712715
"89","SD","IV",42,16,450,2,"RIL141",129,1164.60187712715
"90","SD","IV",42,2,204,1,"RIL142",182,1757.18758378496
"91","SD","IV",1,18,253,2,"RIL142",174,1662.20823905561
"92","SD","IV",5,10,21,1,"RIL143",135,1209.08864961392
"93","SD","IV",21,19,345,2,"RIL143",143,1298.41578326931
"94","SD","IV",38,18,428,2,"RIL144",174,1662.20823905561
"95","SD","IV",18,8,96,1,"RIL145",174,1662.20823905561
"96","SD","IV",46,18,468,2,"RIL145",174,1662.20823905561
"97","SD","IV",29,4,153,1,"RIL146",108,980.93628580422
"98","SD","IV",42,20,458,2,"RIL146",115,1041.35524715688
"99","SD","IV",41,7,213,1,"RIL147",174,1662.20823905561
"100","SD","IV",30,17,390,2,"RIL147",182,1757.18758378496
"101","SD","IV",37,1,199,1,"RIL148",157,1470.45901998429
"102","SD","IV",37,19,425,2,"RIL148",157,1470.45901998429
"103","SD","IV",14,6,70,1,"RIL149",150,1382.56207956561
"104","SD","IV",38,20,424,2,"RIL149",143,1298.41578326931
"105","SD","IV",26,8,136,1,"RIL15",174,1662.20823905561
"106","SD","IV",10,20,298,2,"RIL15",182,1757.18758378496
"107","SD","IV",22,8,106,1,"RIL150",195,1927.865626113
"108","SD","IV",26,21,380,2,"RIL150",195,1927.865626113
"109","SD","IV",46,1,240,1,"RIL151",157,1470.45901998429
"110","SD","IV",45,21,461,2,"RIL151",143,1298.41578326931
"111","SD","IV",22,6,110,1,"RIL152",195,1927.865626113
"112","SD","IV",9,17,291,2,"RIL152",174,1662.20823905561
"113","SD","IV",22,3,116,1,"RIL154",195,1927.865626113
"114","SD","IV",2,16,250,2,"RIL154",195,1927.865626113
"115","SD","IV",46,9,224,1,"RIL155",135,1209.08864961392
"116","SD","IV",25,12,361,2,"RIL155",129,1164.60187712715
"117","SD","IV",13,2,77,1,"RIL156",115,1041.35524715688
"118","SD","IV",46,20,464,2,"RIL156",129,1164.60187712715
"119","SD","IV",22,2,118,1,"RIL157",195,1927.865626113
"120","SD","IV",25,21,379,2,"RIL157",150,1382.56207956561
"121","SD","IV",46,6,230,1,"RIL158",143,1298.41578326931
"122","SD","IV",30,21,382,2,"RIL158",135,1209.08864961392
"123","SD","IV",29,5,151,1,"RIL159",129,1164.60187712715
"124","SD","IV",6,14,276,2,"RIL159",135,1209.08864961392
"125","SD","IV",25,8,135,1,"RIL16",182,1757.18758378496
"126","SD","IV",18,18,334,2,"RIL16",182,1757.18758378496
"127","SD","IV",42,1,202,1,"RIL161",143,1298.41578326931
"128","SD","IV",45,18,467,2,"RIL161",143,1298.41578326931
"129","SD","IV",42,6,212,1,"RIL162",195,1927.865626113
"130","SD","IV",14,18,308,2,"RIL162",174,1662.20823905561
"131","SD","IV",25,5,129,1,"RIL163",182,1757.18758378496
"132","SD","IV",5,16,271,2,"RIL163",157,1470.45901998429
"133","SD","IV",34,1,162,1,"RIL164",129,1164.60187712715
"134","SD","IV",34,14,406,2,"RIL164",129,1164.60187712715
"135","SD","IV",37,6,189,1,"RIL165",174,1662.20823905561
"136","SD","IV",17,18,333,2,"RIL165",174,1662.20823905561
"137","SD","IV",38,2,198,1,"RIL167",182,1757.18758378496
