"","Treatment","Location","Col","Row","plot","Block","RIL","DAYS_TILL_BUDDING","GDD_TILL_BUDDING"
"1","SD","SH",9,50,50,3,"RIL1",171,1103.76693397302
"2","SD","SH",6,51,70,2,"RIL1",150,983.555165263354
"3","SD","SH",4,23,218,1,"RIL1",143,923.559794892983
"4","SD","SH",9,41,41,3,"RIL10",150,983.555165263354
"5","SD","SH",1,58,58,1,"RIL10",136,871.704856621379
"6","SD","SH",6,55,66,2,"RIL10",NA,NA
"7","SD","SH",5,56,56,2,"RIL100",143,923.559794892983
"8","SD","SH",2,18,103,1,"RIL100",129,830.093477125941
"9","SD","SH",11,43,163,3,"RIL100",143,923.559794892983
"10","SD","SH",1,41,41,1,"RIL101",136,871.704856621379
"11","SD","SH",10,32,89,3,"RIL101",136,871.704856621379
"12","SD","SH",6,25,96,2,"RIL101",143,923.559794892983
"13","SD","SH",5,3,3,2,"RIL102",NA,NA
"14","SD","SH",10,27,94,3,"RIL102",150,983.555165263354
"15","SD","SH",4,51,190,1,"RIL102",164,1071.14039076315
"16","SD","SH",6,13,108,2,"RIL103",129,830.093477125941
"17","SD","SH",11,19,139,3,"RIL103",129,830.093477125941
"18","SD","SH",3,36,156,1,"RIL103",129,830.093477125941
"19","SD","SH",3,51,171,1,"RIL104",136,871.704856621379
"20","SD","SH",11,60,180,3,"RIL104",136,871.704856621379
"21","SD","SH",8,6,235,2,"RIL104",115,758.987707190998
"22","SD","SH",5,11,11,2,"RIL105",164,1071.14039076315
"23","SD","SH",10,43,78,3,"RIL105",164,1071.14039076315
"24","SD","SH",3,1,121,1,"RIL105",150,983.555165263354
"25","SD","SH",9,29,29,3,"RIL106",164,1071.14039076315
"26","SD","SH",1,32,32,1,"RIL106",157,1031.12958829401
"27","SD","SH",7,28,148,2,"RIL106",150,983.555165263354
"28","SD","SH",1,31,31,1,"RIL107",108,718.092904261775
"29","SD","SH",5,36,36,2,"RIL107",129,830.093477125941
"30","SD","SH",11,49,169,3,"RIL107",136,871.704856621379
"31","SD","SH",10,18,103,3,"RIL108",136,871.704856621379
"32","SD","SH",6,10,111,2,"RIL108",136,871.704856621379
"33","SD","SH",3,50,170,1,"RIL108",143,923.559794892983
"34","SD","SH",7,39,159,2,"RIL109",164,1071.14039076315
"35","SD","SH",11,45,165,3,"RIL109",171,1103.76693397302
"36","SD","SH",3,52,172,1,"RIL109",164,1071.14039076315
"37","SD","SH",5,53,53,2,"RIL11",115,758.987707190998
"38","SD","SH",2,26,95,1,"RIL11",122,789.755883663934
"39","SD","SH",12,45,196,3,"RIL11",122,789.755883663934
"40","SD","SH",5,31,31,2,"RIL110",136,871.704856621379
"41","SD","SH",9,34,34,3,"RIL110",136,871.704856621379
"42","SD","SH",4,38,203,1,"RIL110",143,923.559794892983
"43","SD","SH",5,60,60,2,"RIL111",NA,NA
"44","SD","SH",10,41,80,3,"RIL111",NA,NA
"45","SD","SH",4,37,204,1,"RIL111",136,871.704856621379
"46","SD","SH",11,12,132,3,"RIL112",122,789.755883663934
"47","SD","SH",3,43,163,1,"RIL112",150,983.555165263354
"48","SD","SH",8,56,185,2,"RIL112",136,871.704856621379
"49","SD","SH",7,34,154,2,"RIL113",NA,NA
"50","SD","SH",12,51,190,3,"RIL113",129,830.093477125941
"51","SD","SH",4,34,207,1,"RIL113",122,789.755883663934
"52","SD","SH",1,54,54,1,"RIL114",164,1071.14039076315
"53","SD","SH",7,30,150,2,"RIL114",164,1071.14039076315
"54","SD","SH",12,52,189,3,"RIL114",NA,NA
"55","SD","SH",9,35,35,3,"RIL115",115,758.987707190998
"56","SD","SH",2,21,100,1,"RIL115",122,789.755883663934
"57","SD","SH",7,25,145,2,"RIL115",115,758.987707190998
"58","SD","SH",5,41,41,2,"RIL116",115,758.987707190998
"59","SD","SH",9,43,43,3,"RIL116",115,758.987707190998
"60","SD","SH",4,12,229,1,"RIL116",NA,NA
"61","SD","SH",9,16,16,3,"RIL117",150,983.555165263354
"62","SD","SH",6,38,83,2,"RIL117",143,923.559794892983
"63","SD","SH",3,21,141,1,"RIL117",150,983.555165263354
"64","SD","SH",9,45,45,3,"RIL118",115,758.987707190998
"65","SD","SH",2,59,62,1,"RIL118",108,718.092904261775
"66","SD","SH",6,57,64,2,"RIL118",115,758.987707190998
"67","SD","SH",1,28,28,1,"RIL119",129,830.093477125941
"68","SD","SH",7,60,180,2,"RIL119",143,923.559794892983
"69","SD","SH",12,48,193,3,"RIL119",136,871.704856621379
"70","SD","SH",11,42,162,3,"RIL12",115,758.987707190998
"71","SD","SH",7,48,168,2,"RIL12",108,718.092904261775
"72","SD","SH",4,25,216,1,"RIL12",108,718.092904261775
"73","SD","SH",1,4,4,1,"RIL120",NA,NA
"74","SD","SH",12,26,215,3,"RIL120",171,1103.76693397302
"75","SD","SH",8,9,232,2,"RIL120",164,1071.14039076315
"76","SD","SH",9,53,53,3,"RIL121",150,983.555165263354
"77","SD","SH",6,19,102,2,"RIL121",136,871.704856621379
"78","SD","SH",3,13,133,1,"RIL121",136,871.704856621379
"79","SD","SH",2,32,89,1,"RIL122",129,830.093477125941
"80","SD","SH",7,9,129,2,"RIL122",122,789.755883663934
"81","SD","SH",12,58,183,3,"RIL122",129,830.093477125941
"82","SD","SH",2,46,75,1,"RIL123",164,1071.14039076315
"83","SD","SH",10,34,87,3,"RIL123",136,871.704856621379
"84","SD","SH",8,21,220,2,"RIL123",164,1071.14039076315
"85","SD","SH",6,34,87,2,"RIL124",NA,NA
"86","SD","SH",2,29,92,1,"RIL124",NA,NA
